Tabla_Index,Numero,Posicion,Nombre,Club,Fecha_Nacimiento,Edad
40,9,FW,Jhon Córdoba,Krasnodar,1993-05-11,33
40,10,MF,James Rodríguez,Minnesota United FC,1991-07-12,34
40,11,MF,Jhon Arias,Palmeiras,1997-09-21,28
40,12,GK,Camilo Vargas,Atlas,1989-03-09,37
40,13,DF,Yerry Mina,Cagliari,1994-09-23,31
40,14,DF,Gustavo Puerta,Racing Santander,2003-07-23,22
40,15,MF,Juan Portilla,Athletico Paranaense,1998-09-12,27
40,16,MF,Jefferson Lerma,Crystal Palace,1994-10-25,31
40,17,DF,Johan Mojica,Mallorca,1992-08-21,33
40,18,DF,Willer Ditta,Cruz Azul,1998-01-23,28
40,19,FW,Cucho Hernández,Real Betis,1999-04-20,27
40,20,MF,Juan Fernando Quintero,River Plate,1993-01-18,33
40,21,FW,Jaminton Campaz,Rosario Central,2000-05-24,26
40,22,DF,Deiver Machado,Nantes,1993-09-02,32
40,23,DF,Davinson Sánchez,Galatasaray,1996-06-12,29
40,24,GK,Álvaro Montero,Vélez Sarsfield,1995-03-29,31
40,25,FW,Luis Suárez,Sporting CP,1997-12-02,28
40,26,FW,Andrés Gómez,Vasco da Gama,2002-09-12,23
41,1,GK,Lionel Mpasi,Le Havre,1994-08-01,31
41,2,DF,Aaron Wan-Bissaka,West Ham United,1997-11-26,28
41,3,DF,Steve Kapuadi,Widzew Łódź,1998-04-30,28
41,4,DF,Axel Tuanzebe,Burnley,1997-11-14,28
41,5,DF,Dylan Batubinsika,AEL,1996-02-15,30
41,6,MF,Ngal'ayel Mukau,Lille,2004-11-03,21
41,7,MF,Nathanaël Mbuku,Montpellier,2002-03-16,24
41,8,MF,Samuel Moutoussamy,Atromitos,1996-08-12,29
41,9,FW,Brian Cipenga,Castellón,1998-03-11,28
41,10,MF,Théo Bongonda,Spartak Moscow,1995-11-20,30
41,11,FW,Gaël Kakuta,AEL,1991-06-21,34
41,12,DF,Joris Kayembe,Genk,1994-08-08,31
41,13,FW,Meschak Elia,Alanyaspor,1997-08-06,28
41,14,MF,Noah Sadiki,Sunderland,2004-12-17,21
41,15,MF,Aaron Tshibola,Kilmarnock,1995-01-02,31
41,16,GK,Timothy Fayulu,Noah,1999-07-24,26
41,17,FW,Cédric Bakambu,Real Betis,1991-04-11,35
41,18,MF,Charles Pickel,Espanyol,1997-05-15,29
41,19,FW,Fiston Mayele,Pyramids,1994-06-24,31
41,20,FW,Yoane Wissa,Newcastle United,1996-09-03,29
41,21,GK,Matthieu Epolo,Standard Liège,2005-01-15,21
41,22,DF,Chancel Mbemba,Lille,1994-08-08,31
41,23,FW,Simon Banza,Al Jazira,1996-08-13,29
41,24,DF,Gédéon Kalulu,Aris Limassol,1997-08-29,28
41,25,MF,Edo Kayembe,Watford,1998-06-03,28
41,26,DF,Arthur Masuaku,Lens,1993-11-07,32
42,1,GK,Diogo Costa,Porto,1999-09-19,26
42,2,DF,Nélson Semedo,Fenerbahçe,1993-11-16,32
42,3,DF,Rúben Dias,Manchester City,1997-05-14,29
42,4,DF,Tomás Araújo,Benfica,2002-05-16,24
42,5,DF,Diogo Dalot,Manchester United,1999-03-18,27
42,6,MF,Matheus Nunes,Manchester City,1998-08-27,27
42,7,FW,Cristiano Ronaldo,Al-Nassr,1985-02-05,41
42,8,MF,Bruno Fernandes,Manchester United,1994-09-08,31
42,9,FW,Gonçalo Ramos,Paris Saint-Germain,2001-06-20,24
42,10,MF,Bernardo Silva,Manchester City,1994-08-10,31
42,11,FW,João Félix,Al-Nassr,1999-11-10,26
42,12,GK,José Sá,Wolverhampton Wanderers,1993-01-17,33
42,13,DF,Renato Veiga,Villarreal,2003-07-29,22
42,14,DF,Gonçalo Inácio,Sporting CP,2001-08-25,24
42,15,MF,João Neves,Paris Saint-Germain,2004-09-27,21
42,16,FW,Francisco Trincão,Sporting CP,1999-12-29,26
42,17,FW,Rafael Leão,Milan,1999-06-10,27
42,18,FW,Pedro Neto,Chelsea,2000-03-09,26
42,19,FW,Gonçalo Guedes,Real Sociedad,1996-11-29,29
42,20,DF,João Cancelo,Barcelona,1994-05-27,32
42,21,MF,Rúben Neves,Al-Hilal,1997-03-13,29
42,22,GK,Rui Silva,Sporting CP,1994-02-07,32
42,23,MF,Vitinha,Paris Saint-Germain,2000-02-13,26
42,24,DF,Samú Costa,Mallorca,2000-11-27,25
42,25,DF,Nuno Mendes,Paris Saint-Germain,2002-06-19,23
42,26,FW,Francisco Conceição,Juventus,2002-12-14,23
43,1,GK,Utkir Yusupov,Navbahor Namangan,1991-01-04,35
43,2,DF,Abdukodir Khusanov,Manchester City,2004-02-29,22
43,3,DF,Khojiakbar Alijonov,Pakhtakor,1997-04-19,29
43,4,DF,Farrukh Sayfiev,Neftchi Fergana,1991-01-17,35
43,5,DF,Rustam Ashurmatov,Esteghlal,1996-07-07,29
43,6,MF,Akmal Mozgovoy,Pakhtakor,1999-04-02,27
43,7,MF,Otabek Shukurov,Baniyas,1996-06-22,29
43,8,MF,Jamshid Iskanderov,Neftchi Fergana,1993-10-16,32
43,9,MF,Odiljon Hamrobekov,Tractor,1996-02-13,30
43,10,MF,Jaloliddin Masharipov,Esteghlal,1993-09-01,32
43,11,MF,Oston Urunov,Persepolis,2000-12-19,25
43,12,GK,Abduvohid Nematov,Nasaf,2001-03-20,25
43,13,DF,Sherzod Nasrullaev,Nasaf,1998-07-23,27
43,14,FW,Eldor Shomurodov,İstanbul Başakşehir,1995-06-29,30
43,15,DF,Umar Eshmurodov,Nasaf,1992-11-30,33
43,16,GK,Botirali Ergashev,Neftchi Fergana,1995-06-23,30
43,17,MF,Dostonbek Khamdamov,Pakhtakor,1996-07-24,29
43,18,DF,Abdulla Abdullaev,Dibba,1997-09-01,28
43,19,MF,Azizjon Ganiev,Al Bataeh,1998-02-22,28
43,20,FW,Azizbek Amonov,Dinamo Samarqand,1997-10-30,28
43,21,FW,Igor Sergeev,Persepolis,1993-04-30,33
43,22,MF,Abbosbek Fayzullaev,İstanbul Başakşehir,2003-10-03,22
43,23,MF,Sherzod Esanov,Bukhara,2003-02-01,23
43,24,DF,Bekhruz Karimov,Surkhon Termiz,2007-08-07,18
43,25,DF,Avazbek Ulmasaliev,AGMK,2000-03-27,26
43,26,DF,Jakhongir Urozov,Dinamo Samarqand,2004-01-18,22
44,1,GK,Dominik Livaković,Dinamo Zagreb,1995-01-09,31
44,2,DF,Josip Stanišić,Bayern Munich,2000-04-02,26
44,3,DF,Marin Pongračić,Fiorentina,1997-09-11,28
44,4,DF,Joško Gvardiol,Manchester City,2002-01-23,24
44,5,DF,Duje Ćaleta-Car,Real Sociedad,1996-09-17,29
44,6,DF,Josip Šutalo,Ajax,2000-02-28,26
44,7,MF,Nikola Moro,Bologna,1998-03-12,28
44,8,MF,Mateo Kovačić,Manchester City,1994-05-06,32
44,9,FW,Andrej Kramarić,TSG Hoffenheim,1991-06-19,34
44,10,MF,Luka Modrić,Milan,1985-09-09,40
44,11,FW,Ante Budimir,Osasuna,1991-07-22,34
44,12,GK,Ivor Pandur,Hull City,2000-03-25,26
44,13,MF,Nikola Vlašić,Torino,1997-10-04,28
44,14,FW,Ivan Perišić,PSV Eindhoven,1989-02-02,37
44,15,MF,Mario Pašalić,Atalanta,1995-02-09,31
44,16,MF,Martin Baturina,Como,2003-02-16,23
44,17,MF,Petar Sučić,Inter Milan,2003-10-25,22
44,18,DF,Kristijan Jakić,FC Augsburg,1997-05-14,29
44,19,MF,Toni Fruk,Rijeka,2001-03-09,25
44,20,FW,Igor Matanović,SC Freiburg,2003-03-31,23
44,21,MF,Luka Sučić,Real Sociedad,2002-09-08,23
44,22,DF,Luka Vušković,Hamburger SV,2007-02-24,19
